I Shall Wear Midnight	Q980558
Soul Music	Q303526
Men at Arms	Q690744
Eric	Q927768
The Wee Free Men	Q60412310
Thud!	Q58847838
Pyramids	Q1996868
The Nome Trilogy	Q2746767
The Truth	Q2383856
Discworld books	Q3257270
Snuff	Q2999009
Strata	Q3500081
The Dark Side of the Sun	Q960273
Legends	Q6517902
Small Gods	Q1307144
Wyrd Sisters	Q1765450
Jingo	Q2084358
Witches Abroad	Q1994566
Where's My Cow?	Q60412549
Nation	Q2640690
Maskerade	Q2357235
The Last Continent	Q2357179
Feet of Clay	Q2089569
Monstrous Regiment	Q1637773
Only You Can Save Mankind	Q3226944
Night Watch	Q2410203
Carpe Jugulum	Q60411830
The Last Hero	Q2624734
Johnny and the Dead	Q678598
Moving Pictures	Q1996856
Lords and Ladies	Q2078525
Troll Bridge	Q3038947
Theatre of Cruelty	Q3062548
Thief of Time	Q2414365
A Tourist Guide to Lancre	Q3510317
God: A Biography	Q3708007
Truckers	Q3795150
Dodger	Q5287908
Going Postal	Q60411342
The Fifth Elephant	Q1198641
Wings	Q18198099
The Art of Discworld	Q1996055
The Unadulterated Cat	Q2068643
Once More* With Footnotes	Q7091786
Raising Steam	Q7285157
The Folklore of Discworld	Q7734667
GURPS Discworld	Q8010328
Johnny and the Bomb	Q3182997
Turntables of the Night	Q3234781
A Collegiate Casting-Out of Devilish Devices	Q3423967
The Science of Discworld II: The Globe	Q3508717
Equal Rites	Q853442
The Long Earth	Q48933824
Good Omens	Q1052459
The Long War	Q17093978
Reaper Man	Q1994576
The Science of Discworld	Q2189476
Making Money	Q2469019
Unseen Academicals	Q60413110
The World of Poo	Q7776155
The Discworld Companion	Q3030594
Wit and Wisdom of Discworld	Q8027794
The Carpet People	Q3099387
Discworld Diary	Q4051051
Raising Taxes	Q4366509
The Light Fantastic	Q469969
Hogfather	Q925723
Sourcery	Q2020225
Guards! Guards!	Q2078564
The Amazing Maurice and his Educated Rodents	Q2089560
The Science of Discworld III: Darwin's Watch	Q7027053
Death and What Comes Next	Q3210872
The Long Cosmos	Q24034555
The Shepherd's Crown	Q19897982
The Science of Discworld IV: Judgement Day	Q16955607
The Pratchett Portfolio	Q2000347
A Hat Full of Sky	Q58950216
Wintersmith	Q60412930
The Sea and Little Fishes	Q3210678
Nanny Ogg's Cookbook	Q4045046
Interesting Times	Q58883773
The Discworld Mapp	Q2446000
Death's Domain	Q3566371
A Blink of the Screen	Q4655514
Johnny Maxwell trilogy	Q19885702
The Long Mars	Q17402007
The Discworld Almanak	Q7730323
The Streets of Ankh-Morpork	Q7767004
Diggers	Q45321303
The Long Utopia	Q18702340
A Slip of the Keyboard	Q43377260
Dim ond ti all achub y ddynoliaeth	Q70647461
The Compleat Ankh-Morpork: City Guide	Q18415548
The Colour of Magic	Q60488171
Mrs Bradshaw’s Handbook	Q21030912
The Picture of Dorian Gray	Q82464
The Prince of Homburg	Q366146
Penthesilea	Q451932
The Battle of Arminius	Q615212
The Broken Jug	Q486602
Amphitryon	Q475044
The Canterville Ghost	Q288020
An Ideal Husband	Q1143075
Michael Kohlhaas	Q279676
The mendicant of Locarno	Q1167276
Lady Windermere's Fan	Q1469224
The Selfish Giant	Q1199626
Salome	Q1149498
The Royal Family	Q3208626
Poems	Q7207367
On the gradual proliferation of thoughts in speech	Q331137
A Woman of No Importance	Q203585
The Importance of Being Earnest	Q830501
De Profundis	Q1249459
The Marquise of O	Q1214716
The Rifles	Q7760730
Lord Arthur Savile's Crime and Other Stories	Q47441437
Rising Up and Rising Down	Q60379958
The Atlas (novel)	Q7714814
Impressions of America	Q3797006
About the Puppet Theatre	Q330958
Anecdote from the last Prussian war	Q528891
Lord Arthur Savile's Crime	Q47441715
The Happy Prince	Q1198734
The Nightingale and the Rose	Q2622393
The Ice-Shirt	Q7741260
The Remarkable Rocket	Q3795454
The Letters of Oscar Wilde	Q3828803
The Birthday of the Infanta	Q1193744
Argall: The True Story of Pocahontas and Captain John Smith	Q4789196
Imperial	Q16847480
The Earthquake in Chile	Q1167748
The Star-Child	Q1170469
The Soul of Man under Socialism	Q1196990
The Rainbow Stories	Q17141623
Richard and Samuel	Q2151010
Serenade	Q19030370
Europe Central	Q60413428
Charmides	Q781206
Vita Nuova	Q18084
The Duchess of Padua	Q3822205
Teleny, or The Reverse of the Medal	Q685737
A House of Pomegranates	Q734607
La Sainte Courtisane	Q6465055
The Sphinx Without a Secret	Q13360022
Intentions	Q3799362
Vera; or, The Nihilists	Q676180
The Ballad of Reading Gaol	Q2119279
On the Sale by Auction of Keats' Love Letters	Q2513640
Das Käthchen von Heilbronn	Q316826
Fathers and Crows	Q5437727
The duell	Q21031099
The Portrait of Mr. W. H.	Q2800988
The Decay of Lying	Q7729495
Canzonet	Q19022213
Alongside Night	Q4734458
St. Cecilia, or the Power of Music	Q302229
The Happy Prince and Other Tales	Q797466
Phrases and Philosophies for the Use of the Young	Q1870609
Poems in Prose (O. Wilde)	Q2000280
The Model Millionaire	Q13360023
The Devoted Friend	Q3818426
The Rainbow Cadenza	Q60383992
The Robert Heinlein Interview and other Heinleiniana	Q7761205
Penthésilée (French edition, 1954)	Q16056003
You Bright and Risen Angels	Q17107587
Ave Maria Gratia Plena	Q19053873
The Dying Grass	Q20899433
Robert Guiscard	Q55124568
13 stories and 13 epitaphs	Q28404625
Käthchen di Heilbronn	Q56563296
Cypherpunks	Q5200228
Why?	Q4341750
On Paths of Life	Q6548236
Venices	Q12401758
Heritage	Q13032689
New York	Q19894720
Black Magic	Q20313367
Tender Shoots	Q19897924
The Living Buddha	Q20065135
Open All Night	Q19894944
A cripple	Q4341700
The Little Flute	Q4341799
Rubberhose	Q2171491
Lewis and Irene	Q23307575
To nobody	Q4341673
Hecate and Her Dogs	Q20065156
Julian Assange: Why the world needs WikiLeaks	Q22998908
World Champions	Q25218145
The Allure of Chanel	Q19877272
Huśliar	Q13030545
Tomb of the Lion	Q30604
WikiLeaks	Q359
L'Homme pressé	Q57745
Kroniki włoskie	Q83432901
Le Rêve	Q42572239
Germinal	Q81751365
The Charterhouse of Parma	Q1165714
Nana	Q1138346
Au Bonheur des Dames	Q1170032
La Terre	Q1755607
Armance	Q2601146
Paris	Q3365242
Vanina Vanini	Q3266450
Rome	Q3940410
The Red and the Black	Q192649
L'Argent	Q607232
Italian Chronicles	Q2579559
The Life of Henry Brulard	Q3557868
Thérèse Raquin	Q78593677
A Life of Napoleon	Q5488737
Doctor Pascal	Q663632
J’accuse…!	Q741304
Lucien Leuwen	Q2307875
La Joie de vivre	Q1212773
L'Œuvre	Q1446938
L'Assommoir	Q1197590
Memoirs of an Egotist	Q1354649
The Fortune of the Rougons	Q2714636
Le Ventre de Paris	Q338034
Les Soirées de Médan	Q861461
Les Trois Villes	Q3235920
San Francesco a Ripa	Q3947093
La Conquête de Plassans	Q634152
Pot-Bouille	Q1165442
Encyclopédie, ou Dictionnaire raisonné des sciences, des arts et des métiers	Q29386025
Une Page d'amour	Q2409540
On Love	Q2533282
Madeleine Férat	Q3275649
La Bête humaine	Q942810
La Curée	Q962265
La Débâcle	Q2409203
Mémoires d'un touriste	Q3333075
Racine and Shakespeare	Q3416234
Son Excellence Eugène Rougon	Q1754235
La Faute de l'Abbé Mouret	Q2610567
Les Mystères de Marseille	Q3234058
Rome, Naples and Florence	Q3441163
Elements de physiologie	Q42189325
The Pink and the Green	Q21055209
Vittoria Accoramboni, duchess of Bracciano	Q3561344
Sur les femmes	Q27957472
Les Rougon-Macquart	Q6027
Pustelnia parmeńska	Q81649425
Czerwone i czarne	Q81650056
Pamiętnik egotysty	Q81650749
The Adventures of Three Englishmen and Three Russians in South Africa	Q319202
Doctor Ox	Q385511
The Steam House	Q628443
A Drama in Mexico	Q930520
Off on a Comet	Q60669279
Martin Paz	Q1147005
The Barsac Mission	Q1171108
Michael Strogoff	Q59786412
Only Dull People are Brilliant at Breakfast	Q85130218
The Danube Pilot	Q465065
Five Weeks in a Balloon	Q51491134
An Antarctic Mystery	Q1212137
Mathias Sandorf	Q83799467
The Green Ray	Q59786003
The Sea Serpent	Q1213472
Master of the World	Q1122549
The Will of an Eccentric	Q1170544
Roscoe	Q7367489
Ironweed	Q6073321
The Adventures of Captain Hatteras	Q319149
Legs	Q6518683
The Chase of the Golden Meteor	Q931587
Robur the Conqueror	Q978723
Simplicius Simplicissimus	Q705839
Facing the Flag	Q221765
The Survivors of the "Jonathan"	Q603747
Kéraban the Inflexible	Q644271
The Castaways of the Flag	Q654055
The Castle From Carpathians	Q768605
César Cascabel	Q1150003
A Journey to the Center of the Earth	Q219457
Twenty Thousand Leagues Under the Sea	Q183565
Paris in the Twentieth Century	Q69782514
In the Year 2889	Q684022
Claudius Bombarnac	Q1098300
Adventures of the Rat Family	Q1147397
The Fur Country	Q1169463
Invasion of the Sea	Q1193083
The Golden Volcano	Q1193957
The Kip Brothers	Q1212855
The Blockade Runners	Q116862
The Child of the Cavern	Q143707
Two Years' Vacation	Q232055
Dick Sand, A Captain at Fifteen	Q472291
The Mysterious Island	Q59785260
The Thompson Travel Agency	Q1170162
The Lighthouse at the End of the World	Q1195225
A Florentine Tragedy	Q56418561
Clovis Dardentor	Q127284
The Secret of Wilhelm Storitz	Q431053
The Mighty Orinoco	Q69781177
The Survivors of the Chancellor	Q1192756
The Flight to France	Q1197958
Gold the Man	Q19892981
The Village in the Treetops	Q168309
Billy Phelan's Greatest Game	Q4913161
The Purchase of the North Pole	Q594139
The Begum's Fortune	Q929899
The Vanished Diamond	Q959582
The Archipelago on Fire	Q1192245
Foundling Mick	Q1193400
Family Without a Name	Q1212348
The Red Gods	Q15734061
Requiescat	Q42308298
Désespoir	Q42308469
The True Knowledge	Q35350652
Tutti i racconti	Q56483866
Madonna Mia	Q42308318
La Bella Donna della Mia Mente	Q29043115
From the Earth to the Moon	Q53592
O Albany!	Q42193604
The Young King	Q47297170
Lord Arthur Savile'in Suçu	Q47989363
The Picture of Dorian Gray (1890)	Q69637770
The Picture of Dorian Gray (1891)	Q69637774
Dumka	Q19674002
The Counterfeiters	Q276722
Rhinoceros	Q1215121
Corydon	Q1101239
Rhinocerus	Q83505929
Macbett	Q1248495
Theseus	Q1748241
The Lesson	Q1217089
The God that Failed	Q3009136
The Picture	Q3227505
The Hermit	Q3227280
Improvisation	Q3204058
Das Schweigen	Q5226456
Greed	Q5601693
Illness or Modern Women	Q6000185
Isabelle	Q1277632
Women as Lovers	Q8031378
Amédée, or How to Get Rid of It	Q2844744
The Piano Teacher	Q3823559
The Killer	Q3541880
The Immoralist	Q174626
The Chairs	Q1216613
Hunger and Thirst	Q1249185
Kaddish for an Unborn Child	Q1563950
Die Kontrakte des Kaufmanns. Eine Wirtschaftskomödie	Q2015899
Retour de L'U.R.S.S.	Q3428154
The Bald Soprano	Q1218731
Lust	Q16386812
Jack, or The Submission	Q1247980
Victimes du devoir	Q3557019
La Symphonie Pastorale	Q1215348
Travels in the Congo	Q3563304
Clara S, musikalische Tragödie	Q5126041
Fatelessness	Q655701
Salutations	Q25207756
Das Werk	Q5226469
The Children of the Dead	Q968741
Exit the King	Q1247588
The Fruits of the Earth	Q2345410
Wonderful, Wonderful Times	Q8031815
The New Tenant	Q1248592
Si le grain ne meurt	Q2004486
Burgtheater. Posse mit Gesang	Q4998731
Les Salutations	Q15410656
Orlando Furioso	Q78242007
Spännande tider: en roman om Skivvärlden	Q59185403
The Dungeons of the Vatican	Q27462
La sequestrata di Poitiers	Q56563630
Strait is the Gate	Q27463
Letters to Eva Haldimann	Q79970028
Richard Wagner and Tannhäuser in Paris	Q19230508
Jules Janin and the cake of kings	Q19181447
Le Vin des chiffoniers	Q19207937
Harmony of the Evening	Q19172639
The Beautiful Dorothée	Q2378058
Danse macabre	Q3015647
The Enemy	Q3203112
The Stranger	Q163297
To a Creole Lady	Q3576923
The Mirror	Q3224592
Baudelairian spleen	Q1754920
Le Spleen de Paris	Q2250614
The Albatross	Q3201688
Le Peintre de la vie moderne	Q3225375
Correspondences	Q2997921
The Jewels	Q3231035
La Fanfarlo	Q6462404
Get Drunk	Q3054395
Invitation to a Voyage	Q3204325
Les Fleurs du mal	Q63198107
Les Litanies de Satan	Q587678
The Desire to Paint	Q3222590
Don Juan in Hell	Q3035809
Already!	Q3043287
Skeleton with a Spade	Q3227409
Les Paradis artificiels	Q2249082
Au lecteur	Q17357164
List of Jules Verne's works published in Hungarian	Q84610449
Amelia	Q2842656
Joseph Andrews	Q784226
The Covent-Garden Tragedy	Q7727880
Tom Thumb	Q7817823
An Apology for the Life of Mrs. Shamela Andrews	Q2743569
Rape upon Rape	Q7293916
The Lottery	Q7748805
Love in Several Masques	Q6691815
The History of Tom Jones, a Foundling	Q248096
The Life and Death of Jonathan Wild, the Great	Q9358086
The Mock Doctor	Q7751838
Plot in The History of Tom Jones, a Foundling	Q18745254
Autour de la Lune	Q59784639
Michel Strogoff	Q21015221
Les Enfants du capitaine Grant	Q59781621
Cesta do středu Země	Q59782886
Piętnastoletni kapitan (transl. Tarnowski)	Q59784742
Z Moskwy do Irkutska	Q59786191
In Search of the Castaways or The children of Captain Grant	Q59781630
Podróż podziemna	Q59782319
Alrededor de la Luna	Q59784634
The Voyages and Adventures of Captain Hatteras	Q59786943
W puszczach Afryki	Q59788992
Journey into the Interior of the Earth	Q59783029
Dwadzieścia tysięcy mil podmorskiej żeglugi	Q59783932
Les Indes noires	Q59812628
The Adventures of Three Englishmen and Three Russians in Southern Africa	Q78535473
Around the Moon	Q1327411
Kurjer carski	Q59786251
Vosyem'dyecyat tysyach vyorst pod vodoy	Q59787952
Viaje al centro de la Tierra	Q59783174
Au XXIXe siècle. La journée d’un journaliste américain en 2889.	Q64531968
Veinte mil leguas de viaje submarino	Q59783982
Podróż do Bieguna Północnego	Q59787095
Le Rayon vert	Q59786079
Podróż do środka Ziemi	Q59782254
Podróż Naokoło Księżyca	Q59784331
Promień zielony	Q59786067
